UNQE_FIRE_,Calculated.Acres,size_class,latest_out,duration_hrs,Fire.Mgmt.Complexity,fire_mgmt_n,Incident.Type.Category,AcresTribal,Calendar.Year,GIS_ACRES,FIRE_YEAR_,is_ifph,is_inform
2021-OR954S-000311,8.62,Class B,2021-06-16T17:45:00Z,88.82833333333333,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR954S-000312,0.54,Class B,2021-06-15T18:20:00Z,64.0886111111111,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR954S-000313,0.23,Class A,2021-06-15T18:28:00Z,63.05416666666667,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021096,0.09,Class A,2021-06-23T20:43:00Z,148.5811111111111,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021099,0.87,Class B,2021-06-23T18:57:00Z,134.40833333333333,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-ORPRD-000336,0.8,Class B,2021-06-25T19:08:00Z,116.86666666666666,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-ORVAD-000081,1,Class B,2021-07-07T22:21:00Z,357.8333333333333,NA,NA,WF,NA,2021,NA,NA,FALSE,TRUE
2021-OR952S-021117,2.03,Class B,2021-06-29T20:36:00Z,143.04833333333335,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021126,17.81,Class C,2021-07-03T20:10:00Z,217.48333333333332,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021116,0.93,Class B,2021-06-27T19:10:00Z,94.5663888888889,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR981S-210278,34.82,Class C,2021-07-23T22:07:00Z,649.0166666666667,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-ORNMAN-000408,565.46,Class E,NA,NA,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-ORREDN-000422,1,Class B,NA,NA,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR954S-000396,5798.1,Class G,NA,NA,Type 4 Incident,4,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021160,367.66,Class E,2021-10-13T15:30:00Z,2510.9333333333334,Type 5 Incident,5,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021165,163.37,Class D,2021-08-01T19:00:00Z,760.95,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021169,0.15,Class A,2021-07-07T22:58:00Z,163.57472222222222,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR954S-000422,986.74,Class E,NA,NA,Type 5 Incident,5,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021177,0.27,Class B,2021-07-09T19:29:00Z,188.25666666666663,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021148,0.11,Class A,NA,NA,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021187,541.47,Class E,2021-08-06T23:19:00Z,818.4666666666667,Type 5 Incident,5,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR982S-210314,0.96,Class B,NA,NA,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-ORVAD-000121,1,Class B,2021-08-20T16:35:00Z,1117.6166666666666,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR954S-000467,28.56,Class C,2021-07-10T22:09:00Z,97.31,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-ORBUD-002159,0.1,Class A,2021-06-22T16:15:00Z,13.914444444444444,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-ORJEFN-000574,0.1,Class A,NA,NA,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR954S-000579,1.23,Class B,2021-08-06T16:17:00Z,475.0213888888889,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
2021-ORPRD-000630,1,Class B,NA,NA,NA,NA,WF,0,2021,NA,NA,FALSE,TRUE
