geometry,index,is_indigenous,n_fires,n_quercus,n_xerophyllum,n_thuja,n_populus,n_rubus,n_pinus,n_salix,plant_sum,hist_pinus,hist_salix,hist_quercus,hist_populus,hist_thuja,sum_pinus,sum_salix,sum_quercus,sum_populus,sum_thuja,total_sum,fire_lst,max_acres,min_mgmt,max_duration
"list(c(-122.802441002613, -122.752441002613, -122.752441002613, -122.802441002613, -122.802441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-122.752441002613, -122.702441002613, -122.702441002613, -122.752441002613, -122.752441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-122.702441002613, -122.652441002613, -122.652441002613, -122.702441002613, -122.702441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-122.652441002613, -122.602441002613, -122.602441002613, -122.652441002613, -122.652441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",34,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,1,0,2,0,0,3,NA,0,NA,0
"list(c(-122.602441002613, -122.552441002613, -122.552441002613, -122.602441002613, -122.602441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",35,0,1,3,0,0,0,1,0,0,4,0,0,0,0,0,0,0,3,0,0,3,2020-ORMED-000298,0.38,NA,342
"list(c(-122.552441002613, -122.502441002613, -122.502441002613, -122.552441002613, -122.552441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"list(c(-122.502441002613, -122.452441002613, -122.452441002613, -122.502441002613, -122.502441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"list(c(-122.452441002613, -122.402441002613, -122.402441002613, -122.452441002613, -122.452441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-122.402441002613, -122.352441002613, -122.352441002613, -122.402441002613, -122.402441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",39,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2020-ORMED-000227,14.64,NA,256.366666666667
"list(c(-122.352441002613, -122.302441002613, -122.302441002613, -122.352441002613, -122.352441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-122.302441002613, -122.252441002613, -122.252441002613, -122.302441002613, -122.302441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-122.252441002613, -122.202441002613, -122.202441002613, -122.252441002613, -122.252441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-122.202441002613, -122.152441002613, -122.152441002613, -122.202441002613, -122.202441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",43,0,0,5,0,0,0,0,0,0,5,1,0,0,0,0,1,0,5,0,0,6,NA,0,NA,0
"list(c(-122.152441002613, -122.102441002613, -122.102441002613, -122.152441002613, -122.152441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",44,0,1,4,0,0,0,0,0,0,4,1,0,0,0,0,1,0,4,0,0,5,2021-ORLAD-210460,100.07,NA,839
"list(c(-122.102441002613, -122.052441002613, -122.052441002613, -122.102441002613, -122.102441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",45,0,1,2,0,0,0,0,0,0,2,1,0,0,0,0,1,0,2,0,0,3,2021-ORLAD-210460,100.07,NA,839
"list(c(-122.052441002613, -122.002441002613, -122.002441002613, -122.052441002613, -122.052441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-122.002441002613, -121.952441002613, -121.952441002613, -122.002441002613, -122.002441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-121.952441002613, -121.902441002613, -121.902441002613, -121.952441002613, -121.952441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-121.902441002613, -121.852441002613, -121.852441002613, -121.902441002613, -121.902441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"list(c(-121.852441002613, -121.802441002613, -121.802441002613, -121.852441002613, -121.852441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-CALKR-MPB7,2,NA,393.5
"list(c(-121.802441002613, -121.752441002613, -121.752441002613, -121.802441002613, -121.802441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"list(c(-121.752441002613, -121.702441002613, -121.702441002613, -121.752441002613, -121.752441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-121.702441002613, -121.652441002613, -121.652441002613, -121.702441002613, -121.702441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-121.652441002613, -121.602441002613, -121.602441002613, -121.652441002613, -121.652441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-121.602441002613, -121.552441002613, -121.552441002613, -121.602441002613, -121.602441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-121.552441002613, -121.502441002613, -121.502441002613, -121.552441002613, -121.552441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-121.502441002613, -121.452441002613, -121.452441002613, -121.502441002613, -121.502441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-121.452441002613, -121.402441002613, -121.402441002613, -121.452441002613, -121.452441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-121.402441002613, -121.352441002613, -121.352441002613, -121.402441002613, -121.402441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",59,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-121.352441002613, -121.302441002613, -121.302441002613, -121.352441002613, -121.352441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-121.302441002613, -121.252441002613, -121.252441002613, -121.302441002613, -121.302441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",61,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-121.252441002613, -121.202441002613, -121.202441002613, -121.252441002613, -121.252441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-121.202441002613, -121.152441002613, -121.152441002613, -121.202441002613, -121.202441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-121.152441002613, -121.102441002613, -121.102441002613, -121.152441002613, -121.152441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",64,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-121.102441002613, -121.052441002613, -121.052441002613, -121.102441002613, -121.102441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",65,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2021-ORLAD-210420,823.85,3,1601.98333333333
"list(c(-121.052441002613, -121.002441002613, -121.002441002613, -121.052441002613, -121.052441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",66,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-121.002441002613, -120.952441002613, -120.952441002613, -121.002441002613, -121.002441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-120.952441002613, -120.902441002613, -120.902441002613, -120.952441002613, -120.952441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-120.902441002613, -120.852441002613, -120.852441002613, -120.902441002613, -120.902441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",69,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-120.852441002613, -120.802441002613, -120.802441002613, -120.852441002613, -120.852441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",70,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-120.802441002613, -120.752441002613, -120.752441002613, -120.802441002613, -120.802441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",71,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-120.752441002613, -120.702441002613, -120.702441002613, -120.752441002613, -120.752441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-120.702441002613, -120.652441002613, -120.652441002613, -120.702441002613, -120.702441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",73,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-120.652441002613, -120.602441002613, -120.602441002613, -120.652441002613, -120.652441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",74,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-120.602441002613, -120.552441002613, -120.552441002613, -120.602441002613, -120.602441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-120.552441002613, -120.502441002613, -120.502441002613, -120.552441002613, -120.552441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",76,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
"list(c(-120.502441002613, -120.452441002613, -120.452441002613, -120.502441002613, -120.502441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"list(c(-120.452441002613, -120.402441002613, -120.402441002613, -120.452441002613, -120.452441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"list(c(-120.402441002613, -120.352441002613, -120.352441002613, -120.402441002613, -120.402441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"list(c(-120.352441002613, -120.302441002613, -120.302441002613, -120.352441002613, -120.352441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"list(c(-120.302441002613, -120.252441002613, -120.252441002613, -120.302441002613, -120.302441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",81,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,NA,0,NA,0
