UNQE_FIRE_,Calculated.Acres,Containment.Date.Time,Control.Date.Time,Fire.Mgmt.Complexity,FireOutDateTime,Incident.Type.Category,AcresTribal,Calendar.Year,GIS_ACRES,FIRE_YEAR_,is_ifph,is_inform
2021-ORVAD-000167,0.25,2021-07-24,2021-07-24,NA,2021-08-20,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR712S-020922,0.03,2021-07-28,2021-07-28,NA,2021-08-07,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021277,0.02,2021-07-30,2021-07-30,NA,2021-08-03,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021279,158.53,2021-08-07,2021-08-07,Type 5 Incident,2021-10-13,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR952S-021299,0.05,2021-08-03,2021-08-03,NA,2021-08-04,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR981S-210391,84.38,2021-08-14,2021-08-14,Type 1 Incident,2021-10-22,WF,0,2021,NA,NA,FALSE,TRUE
2021-OR981S-210394,75.3,NA,NA,Type 1 Incident,2021-10-22,WF,0,2021,NA,NA,FALSE,TRUE
2021-ORROD-000488,117.3815,2021-08-02,2021-10-15,Type 1 Incident,2021-10-31,WF,0,2021,NA,NA,FALSE,TRUE
2015-ORWIF-000171,0,2015-07-10,2015-07-10,NA,2015-07-13,WF,0,2015,NA,NA,FALSE,TRUE
2022-ORRSF-000057,0.1,2022-06-06,2022-06-06,NA,2022-06-06,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022091,0.08,2022-06-30,2022-06-30,NA,2022-07-01,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORVAD-000073,1.9,2022-07-04,2022-07-04,NA,2022-08-01,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORPRD-000296,0.1,2022-07-03,2022-07-04,NA,2022-07-04,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORPRD-000307,0.1,2022-07-03,2022-07-03,NA,2022-07-05,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORVAD-000072,0.01,2022-07-04,2022-07-04,NA,2022-08-28,WF,NA,2022,NA,NA,FALSE,TRUE
2022-ORPRD-000341,0.01,2022-07-08,2022-07-08,NA,2022-07-15,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORBENN-000436,1.4,NA,NA,NA,2022-07-26,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022124,0.36,2022-07-30,2022-07-30,NA,2022-08-04,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORRFPN-002294,2.34,2022-07-30,2022-07-30,NA,2022-08-05,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR981S-220191,50.95,NA,NA,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORUPF-000234,1006.9077,2022-10-07,2022-10-07,Type 3 Incident,2023-02-01,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR955S-000491,2.95,NA,2022-08-04,NA,2022-08-12,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORMAF-022131,154.8917,2022-08-12,2022-10-16,Type 4 Incident,2022-10-27,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORFWF-220229,0.11,2022-08-02,2022-08-02,NA,2022-08-06,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022138,0.11,2022-08-03,2022-08-03,NA,2022-08-05,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORDEF-000552,0.63,2022-08-04,2022-08-04,NA,2022-08-08,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022142,0,2022-08-04,2022-08-04,NA,2022-08-06,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORJEFN-000565,3.16,2022-08-06,NA,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORMAF-002323,3,2022-08-09,2022-08-10,NA,2022-08-14,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022159,0.03,2022-08-09,2022-08-09,NA,2022-08-13,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022164,0.02,2022-08-10,2022-08-10,NA,2022-08-10,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR955S-000641,0.04,2022-08-10,2022-08-12,NA,2022-08-12,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR955S-000589,0.02,2022-08-09,2022-08-09,NA,2022-08-11,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR951S-000704,7.56,2022-08-12,2022-08-15,NA,2022-09-13,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORUPF-000312,12.28,2022-08-20,NA,Type 2 Incident,2022-10-27,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR955S-000775,10.47,2022-08-21,2022-11-01,NA,2022-11-01,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR955S-000781,0.01,2022-08-20,2022-08-20,NA,2022-08-23,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR955S-000770,0.12,2022-08-20,2022-08-23,NA,2022-08-23,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORMAF-022199,4333.3244,2022-10-27,2022-11-21,Type 5 Incident,2022-11-21,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022205,0,2022-08-22,2022-08-22,NA,2022-08-25,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022215,2.84,2022-08-24,2022-08-25,NA,2022-08-30,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR974S-000367,60.64,2022-08-25,2022-08-28,NA,2022-08-28,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR974S-000366,82.28,2022-08-25,2022-09-05,NA,2022-09-05,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR974S-000365,65.05,2022-08-25,2022-09-05,NA,2022-09-05,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORREDN-000820,7.8,NA,NA,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORVAD-000167,5,2022-09-05,2022-09-30,NA,2022-09-30,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORCBD-000375,0,2022-09-05,2022-09-05,NA,2022-09-05,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORMAF-022270,131.91,2022-09-18,2022-09-18,NA,2022-09-22,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORROD-000380,0,2022-06-08,2022-06-08,NA,2022-09-06,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORMAF-022287,13.72,2022-09-20,2022-09-22,NA,2022-10-11,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022289,0.62,2022-09-20,2022-09-20,NA,2022-09-22,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR951S-000932,0.18,2022-09-21,2022-09-21,NA,2022-09-30,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022291,0.69,2022-09-22,2022-09-22,NA,2022-09-25,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORCBD-000393,0,2022-09-24,NA,NA,2022-10-24,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORROD-000400,0,2022-08-19,2022-08-20,NA,2022-09-01,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022296,0.5,2022-09-29,2022-09-29,NA,2022-10-07,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORNGIN-000958,124.43,NA,NA,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022305,1.37,2022-10-07,2022-10-07,NA,2022-10-17,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR972S-000530,142.27,2022-10-09,2022-10-14,NA,2022-10-24,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR955S-000984,0.04,2022-10-11,2022-10-11,NA,2022-10-16,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022328,69.45,NA,NA,NA,NA,WF,0,2022,NA,NA,FALSE,TRUE
2022-OR952S-022322,18.33,2022-10-28,2022-10-28,NA,2022-10-28,WF,0,2022,NA,NA,FALSE,TRUE
2022-ORCBD-000502,0,NA,NA,NA,2023-12-15,WF,0,2022,NA,NA,FALSE,TRUE
2023-ORLAD-230009,1,NA,NA,NA,NA,RX,0,2023,NA,NA,FALSE,TRUE
2023-ORDEF-000022,0.1,2023-01-25,2023-01-25,NA,2023-01-25,WF,0,2023,NA,NA,FALSE,TRUE
1992-ORUMA-000002,0.5,NA,1992-01-30,NA,1992-01-31,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000005,0.1,NA,1992-04-01,NA,1992-04-01,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000008,0.1,NA,1992-05-11,NA,1992-05-12,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000012,35,NA,1992-06-14,NA,1992-06-14,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000013,0.1,NA,1992-06-16,NA,1992-06-17,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000014,0.1,NA,1992-06-28,NA,1992-07-01,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000017,1.5,NA,1992-06-28,NA,1992-07-01,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000022,16,NA,1992-06-30,NA,1992-07-03,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000023,90,NA,1992-07-02,NA,1992-07-04,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000025,0.5,NA,1992-07-04,NA,1992-07-04,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000027,0.1,NA,1992-07-09,NA,1992-07-10,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000028,1.5,NA,1992-07-10,NA,1992-07-12,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000029,0.2,NA,1992-07-13,NA,1992-07-15,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000030,4.7,NA,1992-07-16,NA,1992-07-16,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000031,0.2,NA,1992-07-19,NA,1992-07-19,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000033,0.1,NA,1992-07-21,NA,1992-07-21,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000034,0.1,NA,1992-07-22,NA,1992-07-23,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000037,0.3,NA,1992-08-03,NA,1992-08-03,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000038,0.1,NA,1992-08-07,NA,1992-08-07,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000040,0.1,NA,1992-08-11,NA,1992-08-11,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000045,0.2,NA,1992-08-15,NA,1992-08-16,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000046,0.1,NA,1992-08-20,NA,1992-08-21,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000047,1,NA,1992-08-20,NA,1992-08-22,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000050,1,NA,1992-08-26,NA,1992-08-27,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000051,0.1,NA,1992-08-27,NA,1992-08-28,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000053,1.2,NA,1992-09-13,NA,1992-09-13,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000055,5,NA,1992-09-21,NA,1992-09-22,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000056,0.4,NA,1992-09-21,NA,1992-09-22,WF,0,1992,NA,NA,FALSE,TRUE
1992-ORUMA-000060,4,NA,1992-10-02,NA,1992-10-03,WF,0,1992,NA,NA,FALSE,TRUE
1993-ORUMA-000003,0.1,NA,1993-06-21,NA,1993-06-22,WF,0,1993,NA,NA,FALSE,TRUE
1993-ORUMA-000004,0.1,NA,1993-06-25,NA,1993-06-26,WF,0,1993,NA,NA,FALSE,TRUE
1993-ORUMA-000005,0.1,NA,1993-06-27,NA,1993-06-27,WF,0,1993,NA,NA,FALSE,TRUE
1993-ORUMA-000006,0.1,NA,1993-07-10,NA,1993-07-12,WF,0,1993,NA,NA,FALSE,TRUE
1993-ORUMA-000008,0.1,NA,1993-07-28,NA,1993-07-29,WF,0,1993,NA,NA,FALSE,TRUE
1993-ORUMA-000009,0.3,NA,1993-07-29,NA,1993-07-31,WF,0,1993,NA,NA,FALSE,TRUE
1993-ORUMA-000010,3,NA,1993-07-28,NA,1993-07-30,WF,0,1993,NA,NA,FALSE,TRUE
