geometry,index,is_indigenous,n_fires_mp,n_fires_pt,n_fires_tot,fire_lst,fire_lstmp,max_acresmp,min_mgmtmp,max_durationmp,fire_lstpt,max_acrespt,min_mgmtpt,max_durationpt,max_acres_tribal,max_acres,min_mgmt,max_duration,max_size_class,n_rx_mp,n_rx_pt,n_rx_tot,rx_lst,rx_lstmp,rx_max_acresmp,rx_min_mgmtmp,rx_max_durationmp,rx_lstpt,rx_max_acrespt,rx_min_mgmtpt,rx_max_durationpt,rx_max_acres_tribal,rx_max_acres,rx_min_mgmt,rx_max_duration,rx_max_size_class,n_quercus,n_xerophyllum,n_thuja,n_populus,n_rubus,n_pinus,n_salix,plant_sum,hist_pinus,hist_salix,hist_quercus,hist_populus,hist_thuja,sum_pinus,sum_salix,sum_quercus,sum_populus,sum_thuja,total_plant_sum
"list(c(-123.901012928282, -123.840947532948, -123.858743719727, -123.918846411721, -123.901012928282, 43.522411165608, 43.5354831500769, 43.5780438136759, 43.5649600109833, 43.522411165608))",5854,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,0,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"list(c(-123.840947532948, -123.780859887749, -123.798618710295, -123.858743719727, -123.840947532948, 43.5354831500769, 43.5485233765072, 43.5910958362324, 43.5780438136759, 43.5354831500769))",5855,0,0,1,1,2016-ORCBD-721157,NA,0,NA,0,2016-ORCBD-721157,0.3,NA,NA,0,0.3,Inf,NA,Class B,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"list(c(-123.780859887749, -123.720750025549, -123.738471416347, -123.798618710295, -123.780859887749, 43.5485233765072, 43.5615318249841, 43.6041160586774, 43.5910958362324, 43.5485233765072))",5856,0,0,1,1,2025-ORCBD-72109826,NA,0,NA,0,2025-ORCBD-72109826,0,NA,NA,0,0,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"list(c(-123.720750025549, -123.660617979381, -123.678301870976, -123.738471416347, -123.720750025549, 43.5615318249841, 43.5745084756157, 43.6171044610584, 43.6041160586774, 43.5615318249841))",5857,0,0,1,1,2025-ORCBD-731288,NA,0,NA,0,2025-ORCBD-731288,0.04,NA,NA,0,0.04,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"list(c(-123.660617979381, -123.600463782443, -123.618110107441, -123.678301870976, -123.660617979381, 43.5745084756157, 43.5874533085334, 43.630061023446, 43.6171044610584, 43.5745084756157))",5858,0,0,0,0,NA,NA,0,NA,0,NA,0,NA,0,0,0,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"list(c(-123.600463782443, -123.540287468102, -123.557896159168, -123.618110107441, -123.600463782443, 43.5874533085334, 43.6003663038917, 43.6429857259343, 43.630061023446, 43.5874533085334))",5859,0,0,2,2,"2024-OR731S-000220, 2025-OR731S-000249",NA,0,NA,0,"2024-OR731S-000220, 2025-OR731S-000249",0.01,NA,NA,0,0.01,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2
"list(c(-123.540287468102, -123.480089069892, -123.497660059753, -123.557896159168, -123.540287468102, 43.6003663038917, 43.6132474418688, 43.6558785486408, 43.6429857259343, 43.6003663038917))",5860,0,0,1,1,2024-OR731S-000599,NA,0,NA,0,2024-OR731S-000599,0.1,NA,NA,0,0.1,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"list(c(-123.480089069892, -123.419868621512, -123.437401842957, -123.497660059753, -123.480089069892, 43.6132474418688, 43.6260967026667, 43.668739471707, 43.6558785486408, 43.6132474418688))",5861,0,0,1,1,2023-OR731S-000143,NA,0,NA,0,2023-OR731S-000143,0.01,NA,NA,0,0.01,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"list(c(-123.419868621512, -123.35962615683, -123.377121542713, -123.437401842957, -123.419868621512, 43.6260967026667, 43.6389140665112, 43.6815684752982, 43.668739471707, 43.6260967026667))",5862,0,0,2,2,"2023-OR731S-731-433-23, 2025-OR731S-000042",NA,0,NA,0,"2023-OR731S-731-433-23, 2025-OR731S-000042",1,NA,NA,0,1,Inf,NA,Class B,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"list(c(-123.35962615683, -123.299361709882, -123.316819193118, -123.377121542713, -123.35962615683, 43.6389140665112, 43.6516995136522, 43.6943655396036, 43.6815684752982, 43.6389140665112))",5863,0,0,1,1,2023-OR731S-000223,NA,0,NA,0,2023-OR731S-000223,0.01,NA,NA,0,0.01,Inf,NA,Class A,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,Class A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
