geometry,index,is_indigenous,n_wildfires,wf_uids,max_acres,max_acres_tribal,min_mgmt,max_duration,max_size_class,n_rx_fires,rx_uids,rx_max_acres,rx_max_acres_tribal,rx_min_mgmt,rx_max_duration,rx_max_size_class,n_pinus,n_salix,n_quercus,n_populus,n_thuja,n_xerophyllum,n_rubus,plant_sum
"list(c(-122.602441002613, -122.552441002613, -122.552441002613, -122.602441002613, -122.602441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",35,0,3,"2020-ORMED-000298, 2017-ORMED-000345, 2019-ORMED-000396",0.38,0,NA,3098.49972222222,Class B,0,NA,0,0,NA,0,Class A,0,0,3,0,0,0,1,4
"list(c(-122.552441002613, -122.502441002613, -122.502441002613, -122.552441002613, -122.552441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",36,0,2,"2017-ORMED-000199, 2025-ORMED-028726",0.1,0,NA,3445.69972222222,Class A,0,NA,0,0,NA,0,Class A,0,0,0,0,0,0,0,0
"list(c(-122.502441002613, -122.452441002613, -122.452441002613, -122.502441002613, -122.502441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",37,0,0,NA,0,0,NA,NA,Class A,0,NA,0,0,NA,0,Class A,0,0,0,0,0,0,0,0
"list(c(-122.452441002613, -122.402441002613, -122.402441002613, -122.452441002613, -122.452441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",38,0,1,2015-ORMED-687170,3.5,0,NA,NA,Class B,0,NA,0,0,NA,0,Class A,1,0,0,0,0,0,0,1
"list(c(-122.402441002613, -122.352441002613, -122.352441002613, -122.402441002613, -122.402441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",39,0,3,"2020-ORMED-000227, 2015-ORMED-679878, 2015-ORMED-681152",46,0,NA,NA,Class C,0,NA,0,0,NA,0,Class A,1,0,0,0,0,0,0,1
"list(c(-122.352441002613, -122.302441002613, -122.302441002613, -122.352441002613, -122.352441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",40,0,0,NA,0,0,NA,NA,Class A,0,NA,0,0,NA,0,Class A,1,0,0,0,0,0,0,1
"list(c(-122.302441002613, -122.252441002613, -122.252441002613, -122.302441002613, -122.302441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",41,0,1,2025-OR981S-250467,0.1,0,NA,144.258888888889,Class A,0,NA,0,0,NA,0,Class A,1,0,0,0,0,0,0,1
"list(c(-122.252441002613, -122.202441002613, -122.202441002613, -122.252441002613, -122.252441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",42,0,0,NA,0,0,NA,NA,Class A,0,NA,0,0,NA,0,Class A,1,0,0,0,0,0,0,1
"list(c(-122.202441002613, -122.152441002613, -122.152441002613, -122.202441002613, -122.202441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",43,0,1,2019-ORLAD-000243,1301,0,NA,1858.63305555556,Class F,0,NA,0,0,NA,0,Class A,1,0,5,0,0,0,0,6
"list(c(-122.152441002613, -122.102441002613, -122.102441002613, -122.152441002613, -122.152441002613, 41.9926919995414, 41.9926919995414, 42.0426919995414, 42.0426919995414, 41.9926919995414))",44,0,3,"2021-ORLAD-210460, 2023-OR981S-230125, 2025-ORLAD-250226",100.07,0,NA,839,Class D,0,NA,0,0,NA,0,Class A,1,0,4,0,0,0,0,5
